GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
film,ru.netology.domain,Film,0,15,0,0,0,1,0,1,0,1
film,ru.netology.manager,FilmManager,0,68,0,2,0,14,0,4,0,3
